Data da Venda,Produto,Quantidade,Preço,Região,Vendedor,Total de Vendas
2024-05-04,study,52,496,East Kaylaport,Joseph Welch,25792
2024-03-23,really,13,206,Lake Danielfurt,Nicole Brennan,2678
2024-07-28,blood,52,417,West Ericburgh,John Cox,21684
2024-06-10,amount,65,172,New Ashley,Christopher Williams,11180
2024-10-11,build,95,24,Mccarthyfort,Michael Neal,2280
2024-09-01,the,19,252,New Richard,Amber Carson,4788
2024-06-20,financial,23,411,Buckhaven,Paul Morris,9453
2024-06-04,around,63,183,West John,Susan Olsen,11529
2024-04-06,inside,96,242,West Nathanstad,Stephanie Watkins,23232
2024-08-24,quality,39,168,West Heatherberg,Tiffany Coleman,6552
2024-09-21,up,45,195,East Joseph,Timothy Frost,8775
2024-03-21,identify,44,303,Wrightland,David Hernandez,13332
2024-07-22,door,2,39,Johnstad,Rhonda Leonard,78
2024-05-24,compare,96,426,Kimberlyton,Wendy Richard,40896
2024-09-26,race,57,59,Nicholasburgh,Ryan Sparks,3363
2024-03-11,subject,68,380,Williamsville,Lisa Davis,25840
2024-01-25,writer,10,54,Ericfort,Bradley Carlson,540
2024-04-04,little,21,256,South Meganstad,Shannon King,5376
2024-08-16,water,44,237,West Ashley,Kelly Mitchell,10428
2024-05-19,me,42,14,Elizabethchester,Vanessa Sawyer,588
2024-03-24,including,77,478,South Keithfort,Joseph Thomas,36806
2024-06-18,investment,69,21,Jeromemouth,Jerome Cole,1449
2024-09-24,effect,3,101,East Cassandra,Jacob Perry,303
2024-05-18,small,37,282,South Daisy,Jennifer Porter,10434
2024-04-21,sell,11,126,Paigeberg,Megan Hall,1386
2024-09-30,I,48,297,West Tara,Michael Walton,14256
2024-10-13,yet,92,161,East Austinview,Kenneth Cobb,14812
2024-04-30,current,61,164,South Austin,Christopher Ward,10004
2024-07-27,window,26,83,Elizabethton,Aaron Warren,2158
2024-04-21,cultural,20,167,Davidchester,Victoria Callahan,3340
2024-08-29,anything,37,139,Lake Victoriashire,Natalie Ryan,5143
2024-06-06,film,46,318,Thomashaven,Cynthia Cohen,14628
2024-06-24,history,55,41,Annshire,Scott Vazquez,2255
2024-05-23,assume,15,363,West Stacyside,Luke Rivera,5445
2024-08-28,event,76,356,East Brianmouth,Anthony Delgado,27056
2024-01-22,sort,43,128,New Randy,Steven Bowen,5504
2024-03-25,material,36,410,Deanhaven,Michael Thompson,14760
2024-09-25,direction,98,122,Reyeston,Joshua Mcdaniel,11956
2024-03-19,those,30,90,Boydview,Amanda Melton,2700
2024-07-03,lose,29,488,Michaelbury,Joseph Rhodes,14152
2024-03-03,together,11,77,West Teresaborough,Jerry Padilla,847
2024-10-11,information,84,227,Schroederburgh,Kayla Lopez,19068
2024-01-12,case,82,416,Jamesbury,Rebekah Baker,34112
2024-07-04,now,55,421,West Timothyborough,Shelley Hayes,23155
2024-05-01,still,97,57,East Robertberg,Benjamin Fields,5529
2024-03-29,scene,92,87,Jonesland,Michael Morales,8004
2024-08-21,last,75,249,Transtad,Kathleen Bradley,18675
2024-09-16,past,18,171,Jamesside,Linda Smith,3078
2024-02-13,late,34,419,Elizabethtown,David Cisneros,14246
2024-06-05,drug,39,214,New Barbaramouth,Noah Morris,8346
2024-07-30,fear,59,94,Lake Robert,Mary Mcdaniel,5546
2024-02-02,less,57,331,North Zacharyville,Justin Rodriguez,18867
2024-07-02,federal,15,23,Pattersonfurt,Jonathan Patterson,345
2024-04-25,door,20,239,North Scottton,Matthew Brock,4780
2024-04-16,itself,22,149,Gonzalezstad,Donna Sims,3278
2024-08-04,capital,83,53,Wardtown,Stephanie Russell,4399
2024-08-16,movie,37,303,Sheltonton,Aaron Ortiz,11211
2024-10-09,base,29,492,Bakerfurt,Michael Jones,14268
2024-05-03,yard,58,404,Port Michaelville,Rebecca Jones,23432
2024-01-30,just,87,259,Adamsborough,Adam Franklin,22533
2024-08-10,soldier,89,190,Port Jakefurt,Lucas Davis,16910
2024-08-01,miss,67,17,Michaelborough,Melissa Hicks,1139
2024-03-11,here,12,221,Brianside,Rebecca Reed,2652
2024-07-01,indicate,33,58,Port Laurashire,Stanley Kelly,1914
2024-10-07,save,74,67,East Audrey,Amanda Marshall,4958
2024-04-03,instead,45,34,New Briannaburgh,Charles Smith,1530
2024-07-27,by,88,392,West Scottside,Daniel Montgomery,34496
2024-04-06,authority,63,486,Lake Amanda,Jamie Kennedy,30618
2024-02-27,security,100,312,Port Darrylton,Kim Kirk,31200
2024-01-10,collection,33,250,Floresmouth,Omar Wilson,8250
2024-02-16,certainly,46,44,Carterstad,John Peters,2024
2024-07-28,indeed,75,236,Port Dawn,William Smith,17700
2024-10-11,fast,38,230,New Elizabethside,Danielle Scott,8740
2024-06-16,among,81,430,North Davidberg,Wanda Long,34830
2024-01-11,baby,78,38,Wilsonborough,Rebecca Nelson,2964
2024-04-12,this,32,64,North Seanshire,Emily Hill,2048
2024-01-29,important,47,310,South Ryanberg,Deborah Rodgers,14570
2024-04-01,country,15,385,Hernandezville,Emma Mendez,5775
2024-08-14,cut,77,377,Stephenberg,Dr. Joshua Perry,29029
2024-04-02,main,82,418,New Michael,Victor Lewis,34276
2024-03-01,plan,79,188,New Monica,Aaron Mills,14852
2024-05-23,dinner,84,80,Brownbury,Lawrence Hester,6720
2024-05-17,agency,77,312,West Nichole,Raven Martinez,24024
2024-10-04,us,39,75,Wrighthaven,Courtney Harper,2925
2024-10-15,left,90,23,South Rachelmouth,Sarah Daniel,2070
2024-09-26,scene,22,449,New Josephton,Drew Norman,9878
2024-04-28,quality,55,364,Benjamintown,Heidi Aguirre,20020
2024-05-21,stand,91,65,East Amberville,Joseph Cook,5915
2024-06-29,you,33,428,Port Noah,Charles Davis,14124
2024-10-08,better,5,416,Edwardshire,Richard Perkins,2080
2024-04-26,hundred,22,203,Alexstad,William Howard,4466
2024-04-26,tell,4,486,Griffinberg,Kelly Morrison,1944
2024-02-17,knowledge,67,398,Barronside,Jacob Oconnor,26666
2024-02-17,adult,67,53,East Kristintown,Shannon Ramsey,3551
2024-07-22,newspaper,59,326,West Karinamouth,Nicole Hamilton,19234
2024-02-04,fund,75,65,West Laurashire,William Le,4875
2024-01-30,son,15,296,West Patrick,Lauren Anderson,4440
2024-03-27,short,14,141,Joseville,Anna Wood,1974
2024-04-17,life,46,187,East Keith,Ms. Toni Mckinney,8602
2024-03-10,history,85,233,Cathychester,Chad Patterson,19805
2024-09-29,sport,6,125,Lake Shannonmouth,Joy Taylor,750
2024-08-24,west,52,492,East Bryan,Rebecca Smith,25584
2024-05-26,affect,70,444,New Richard,James Pierce,31080
2024-07-07,anyone,82,210,East Vanessaton,Jessica Nguyen,17220
2024-08-13,low,93,355,Shaneshire,James Palmer,33015
2024-05-26,song,72,195,South Dakota,Sherri Hodges,14040
2024-02-09,material,51,249,Lake Richard,Michael Davis,12699
2024-03-07,stuff,27,333,South Melinda,Michael Robinson,8991
2024-06-06,series,42,469,Wardport,Debra Gonzalez,19698
2024-06-18,marriage,49,381,West Cassieport,Nancy Lowe,18669
2024-05-19,collection,30,89,West Davidville,Debra Dougherty,2670
2024-03-22,interesting,97,432,Davidborough,Christopher Ford,41904
2024-09-21,play,40,10,Micheleburgh,Lisa Hartman,400
2024-07-28,research,91,249,Nicoleshire,Nicholas Rodriguez,22659
2024-04-02,everything,38,358,Emilybury,Tony Ford,13604
2024-01-31,direction,49,86,Sarabury,Matthew Gonzalez,4214
2024-03-19,past,94,95,Colinberg,Randy Shannon,8930
2024-07-18,black,56,423,Smithville,Christina Stanton,23688
2024-07-09,low,81,42,Benjaminborough,Kerri Brooks,3402
2024-09-10,peace,65,431,Jamesside,Calvin Gonzalez,28015
2024-03-13,trial,11,409,Rodriguezborough,Alan Smith,4499
2024-06-15,share,64,258,South Juliahaven,Jason Parsons,16512
2024-09-01,guy,33,470,Marcusberg,Teresa Murray,15510
2024-05-03,finally,21,392,Lake Michael,Kenneth Smith,8232
2024-04-06,huge,55,349,Lake Deniseshire,Sarah Miller,19195
2024-03-01,six,80,461,West Alyssa,Paula Robinson,36880
2024-08-09,pass,35,179,Port Jonathantown,Stephanie Rodriguez,6265
2024-06-23,necessary,55,446,Nataliechester,Megan Macias,24530
2024-01-14,hope,30,113,New Jamie,Margaret Lopez,3390
2024-04-25,music,41,194,Clarkside,Amber Moran,7954
2024-07-23,dark,66,253,North Mark,Michael Martin,16698
2024-07-14,pretty,56,476,Lake Heather,Danielle Gonzales,26656
2024-02-16,person,14,383,Stewartton,Alexander Reeves,5362
2024-06-10,firm,15,277,New Paul,Benjamin Bennett,4155
2024-08-05,real,39,416,Heatherton,Michael Lane,16224
2024-03-17,yard,76,445,Port Sydneyhaven,Cody Moore,33820
2024-02-03,once,20,379,Velazquezland,Sharon Walker,7580
2024-08-05,send,40,207,East Ronald,Molly Nichols,8280
2024-09-20,second,94,312,North Nathanhaven,Curtis Adkins,29328
2024-09-11,quite,18,255,Wileymouth,Kelly Cruz,4590
2024-07-19,light,31,374,Matthewbury,Parker Proctor,11594
2024-03-15,develop,52,406,North Tammyview,Dale Mckenzie,21112
2024-10-11,ground,68,449,Stevensonburgh,John Carter,30532
2024-01-08,force,95,442,New Chadstad,Damon Ellis,41990
2024-02-14,where,76,380,Port Michelle,Cynthia Castillo,28880
2024-08-22,six,64,394,North Jenniferbury,Jennifer Kramer,25216
2024-09-06,they,68,233,Richardsonchester,Joshua George,15844
2024-06-13,budget,39,367,West Robert,Lisa Garcia,14313
2024-06-28,thus,43,249,Collinsfurt,Robin Campbell,10707
2024-09-02,rock,94,461,Jamestown,Joseph White Jr.,43334
2024-07-10,board,55,492,Elizabethstad,Christopher Moore,27060
2024-02-25,wife,95,195,North Cherylport,Trevor Dean,18525
2024-04-08,time,93,299,Paulatown,Todd Mccall,27807
2024-06-08,film,70,442,South Davidmouth,Darrell Day,30940
2024-07-27,stop,24,318,East Erinchester,Kristine Floyd,7632
2024-08-02,oil,56,125,West Taylorfort,Angela Watts,7000
2024-06-04,become,57,12,South Latasha,Kathryn Rodriguez MD,684
2024-07-26,force,24,429,Harveyhaven,Maria Meyer,10296
2024-03-21,college,18,480,North Jose,Amanda Mccarthy,8640
2024-09-04,area,99,282,Lake Andrea,Travis Cain,27918
2024-09-24,nature,42,389,South Jasmine,Adam Mills,16338
2024-06-14,collection,24,397,East Matthew,Arthur Williams MD,9528
2024-02-16,woman,10,240,Whiteville,Brenda Sharp,2400
2024-02-04,treatment,27,208,Wongland,Robert Williams,5616
2024-01-13,current,25,34,Brandonberg,Emily Hernandez,850
2024-02-04,anything,74,395,Lake Jamie,Benjamin Rose,29230
2024-09-22,plan,44,388,North Benjaminside,Chase Barry,17072
2024-06-21,front,53,161,Hoganhaven,Victoria Merritt,8533
2024-01-25,head,12,261,Port Hunter,Katie Jackson,3132
2024-04-02,fly,96,260,Bakerbury,Lance Martinez,24960
2024-05-03,be,15,145,Wattsport,Tracy Watson,2175
2024-09-26,serve,62,39,West Kevin,Natasha Jones,2418
2024-01-10,successful,76,49,Port Gregory,Kevin Ibarra,3724
2024-05-25,page,81,407,East Tara,Kenneth Alexander,32967
2024-01-28,exactly,74,414,Angelastad,Samantha Santos,30636
2024-02-29,decision,87,397,Wangside,Ryan Martinez,34539
2024-07-01,recognize,100,198,Lake Samuel,Jodi Moore,19800
2024-06-09,Mr,80,146,Laurafurt,Edward Brown,11680
2024-03-07,your,44,365,Danielmouth,Thomas Le,16060
2024-02-05,forward,94,84,Coxton,Eileen Miller,7896
2024-06-25,pressure,61,95,Lake Michaelview,Billy Little,5795
2024-09-24,card,55,482,Cynthiaton,Caleb Moore,26510
2024-01-07,answer,74,351,Johnmouth,Jason Simpson,25974
2024-07-27,condition,15,358,East Charles,Jack Lowery,5370
2024-01-09,and,40,217,North Johnburgh,Megan Flores,8680
2024-04-24,action,79,435,North Michael,Zachary Johnston,34365
2024-03-26,value,98,268,South Tracie,James Costa,26264
2024-09-02,item,49,375,Stuartmouth,Hannah Jackson,18375
2024-09-20,film,27,447,Salazarton,Joshua Hammond,12069
2024-07-15,the,60,12,West Rebeccahaven,Andrew Johnson,720
2024-07-22,involve,1,10,New Nicholas,Mariah Stevens,10
2024-01-14,her,48,232,South Kevin,Brian Benson,11136
2024-07-25,new,21,421,Port Terrenceburgh,Joshua Hunt,8841
2024-02-20,we,12,258,Snyderside,Curtis Mata,3096
2024-01-16,suggest,69,323,Port Chase,Heidi Harper,22287
2024-02-03,bank,25,31,New Helenview,Andrea Middleton,775
2024-06-25,boy,21,28,Torreshaven,Austin Wolfe,588
2024-01-17,natural,41,408,Gabrielleborough,Kevin Kelly,16728
2024-04-19,protect,28,348,South Dawnfort,Ryan Cox,9744
2024-03-03,test,99,12,North Julian,Stephanie Klein,1188
2024-07-18,Republican,73,364,Lake Yvettemouth,Vincent Harrington,26572
2024-01-19,consider,20,249,Henrybury,Patricia Murphy,4980
2024-08-19,close,44,59,Emilyview,George Fernandez,2596
2024-05-25,time,7,66,North Christopher,Daniel Wright,462
2024-03-10,eye,97,441,West Cindyshire,Daniel Smith,42777
2024-02-07,raise,31,152,Carrhaven,Thomas Hill,4712
2024-07-19,economy,73,316,Smithchester,Annette Carroll,23068
2024-03-12,involve,34,178,Lake Jeremyshire,Darrell Williams,6052
2024-06-05,heart,52,202,Lake Leslieport,Jordan Foster,10504
2024-08-15,treatment,56,499,East Danielborough,Lisa Cruz,27944
2024-06-12,bag,78,78,Clarketown,Anthony Ferguson,6084
2024-01-06,moment,50,78,West Ericfurt,Ashley Benson,3900
2024-09-25,up,22,379,Angelafurt,James Reynolds,8338
2024-07-29,assume,28,232,Rachelmouth,James Dillon,6496
2024-03-14,doctor,69,245,Michellefurt,Trevor Young,16905
2024-10-07,sense,28,233,Kelliport,Lori Benson,6524
2024-03-19,way,96,63,Kevinport,Mrs. Heather Delacruz,6048
2024-01-10,although,46,356,West Amandastad,Alyssa Bennett,16376
2024-01-26,he,6,179,Kramerbury,Kelsey Goodman,1074
2024-04-24,perhaps,41,496,Melissatown,Kimberly Lopez,20336
2024-05-16,tax,19,149,Greenmouth,Lauren Trevino,2831
2024-09-01,possible,78,149,North Joshua,Stephanie Young,11622
2024-02-29,significant,24,246,South Peterside,Penny Kennedy,5904
2024-09-17,drive,77,96,East Ianside,Savannah Young,7392
2024-08-09,wait,82,475,Kristenchester,Shelley Beard,38950
2024-08-04,seat,49,475,Orozcomouth,Danny Perez,23275
2024-05-02,think,22,201,New Nicole,Christine Reynolds,4422
2024-08-22,set,82,93,New Mark,Caitlin White,7626
2024-06-20,day,14,110,Clarkchester,Derek Hogan,1540
2024-09-15,green,52,454,Meyersstad,Melissa Clark,23608
2024-03-23,manager,82,465,Smithshire,Heidi Perez,38130
2024-06-22,conference,74,259,West Kevinstad,David Howard,19166
2024-05-04,gas,51,194,South Lisabury,Sean Villanueva,9894
2024-08-09,maintain,86,418,North Stephaniestad,Andrea Boone,35948
2024-04-30,alone,84,249,Kellermouth,Gregory Smith,20916
2024-10-13,crime,72,176,Rebeccaville,Veronica Castillo,12672
2024-04-03,do,96,458,Port Janiceside,Michael Garcia,43968
2024-04-29,factor,63,308,North Racheltown,Elizabeth Lewis,19404
2024-08-16,poor,60,62,Stanleyfort,Elizabeth Jones MD,3720
2024-03-14,religious,72,446,Kaitlynmouth,David Johnson,32112
2024-06-08,research,33,329,West Keith,Mr. Matthew Walls,10857
2024-02-28,name,16,170,Paulmouth,Luis Gutierrez,2720
2024-03-28,carry,99,33,Port Alexis,Brandi Bush,3267
2024-05-12,run,46,231,Taylorchester,Matthew Moyer,10626
2024-09-27,want,39,308,Robinsontown,Lisa Coleman,12012
2024-05-30,issue,20,178,Silvafort,Ronald Wheeler,3560
2024-01-17,ago,13,80,Grimesbury,Charles Dalton,1040
2024-03-22,trade,91,312,New Jaime,Nicole Johnson,28392
2024-05-09,on,80,40,North Brooke,Juan Johnson,3200
2024-04-12,American,34,342,North Charlesside,Andrew Rodgers,11628
2024-09-20,hour,83,398,Lake Paige,Bradley Moreno,33034
2024-04-08,look,3,335,South Diana,Kimberly Golden,1005
2024-02-11,cultural,34,368,Dixonfurt,Stephanie Williams,12512
2024-02-25,eye,37,111,Lake Gina,Sean Lee,4107
2024-04-26,pretty,56,321,Port Kristy,Dominic Williams,17976
2024-09-06,scene,46,45,Port Stevebury,John Lee,2070
2024-06-18,enough,59,260,Brownborough,Wendy Smith,15340
2024-09-28,sign,68,285,Morrowfort,Joshua Rodriguez,19380
2024-05-28,low,65,277,Sanchezmouth,James Cross,18005
2024-05-10,accept,74,152,Stewarttown,Dawn Chapman,11248
2024-02-26,floor,43,80,South Benjamin,Amanda Blackburn,3440
2024-07-19,later,42,272,Greentown,Tony Harrison,11424
2024-09-02,health,30,101,Chasemouth,Catherine Cisneros,3030
2024-04-07,tree,75,321,Jenniferburgh,Mary Turner,24075
2024-07-04,be,83,360,Mckenzieburgh,Tara Hart,29880
2024-07-16,country,36,300,North Natasha,Jill Wallace,10800
2024-03-23,seem,35,127,Millerton,Kimberly Bradford,4445
2024-07-04,star,56,60,Port Richard,Michael Williams,3360
2024-06-05,majority,49,85,Johnton,Alisha Turner,4165
2024-10-02,specific,74,91,Port Kimberly,Edward Parker,6734
2024-07-23,throw,84,57,Port Stacey,Catherine Hines,4788
2024-06-24,speech,29,148,West Zacharyfurt,Diana Neal,4292
2024-06-19,measure,64,438,Kristenberg,Kyle Li,28032
2024-01-29,system,68,499,Penastad,Dr. Jeffrey Sellers,33932
2024-05-31,today,68,99,North Stephanie,Janet Miller,6732
2024-08-10,painting,86,396,Daryltown,Jorge Ward,34056
2024-02-21,every,99,436,New Tracy,Wesley Colon,43164
2024-03-21,let,85,312,Lopezmouth,Molly Edwards,26520
2024-03-31,type,30,339,Patrickville,Glenn White,10170
2024-01-28,raise,86,50,Lake Joseph,John Carter,4300
2024-04-18,up,58,222,North Jonathan,Justin Costa,12876
2024-08-11,physical,60,294,New Christineton,Jacqueline Johnson,17640
2024-07-03,activity,2,189,Port Daniel,Joseph Hart,378
2024-05-24,middle,77,127,Savannahville,Tami Sanchez,9779
2024-05-26,billion,30,286,West Darleneshire,Amanda Cole,8580
2024-09-18,the,97,203,Lake Hunter,Benjamin Jones,19691
2024-07-26,should,88,160,Johnsonhaven,Rachael Drake,14080
2024-02-19,fire,11,160,Lake Virginia,Vincent Buchanan,1760
2024-09-01,energy,63,147,North Matthewport,Kathleen Clark,9261
2024-06-21,everybody,23,226,South Rodneyview,Adam Carter,5198
2024-02-09,important,24,92,East Patriciabury,Michael Allen,2208
2024-04-21,myself,70,46,Port Tristanchester,Mrs. Ashley Mack,3220
2024-02-20,central,6,169,Flowersview,Chloe Graves,1014
2024-07-16,argue,99,167,Jeremiahview,Rachel Newman,16533
2024-10-01,market,68,370,West Philip,Peter Carter,25160
2024-07-12,pay,62,114,Meltonland,Chad Hunt,7068
2024-06-20,would,18,45,West Sandra,Stephen Bailey,810
2024-09-11,gun,13,42,Aguilarchester,Luis Morris,546
2024-09-08,true,30,29,Lopeztown,Charles Barnes,870
2024-03-15,catch,41,161,New Charlesbury,Paige Payne,6601
2024-08-22,soldier,1,307,New Jessica,Daniel Schneider,307
2024-03-23,effect,28,362,Daniellebury,James Lopez,10136
2024-05-29,decide,70,69,Bushville,Ashley Kim,4830
2024-02-11,defense,15,389,Velezfort,James Ortega,5835
2024-01-01,agree,64,66,Port Richard,Benjamin Barr,4224
2024-02-11,world,67,111,Francisfort,Rebecca Woods,7437
2024-06-21,mention,84,379,West Bethanyport,Melissa Martinez,31836
2024-03-27,least,97,266,North Wesleyburgh,Leonard Smith,25802
2024-04-24,economy,22,386,Ashleyton,Alexander Lopez,8492
2024-10-02,indeed,100,391,East Steven,Erica Rich,39100
2024-09-21,too,22,73,Lake Stephanie,Carmen Wilson,1606
2024-05-16,moment,71,344,Lake Valerie,Carla Bailey,24424
2024-09-30,significant,69,405,Garciaberg,Kyle Davis,27945
2024-04-13,agree,71,430,Gonzalesview,Robert Richardson,30530
2024-08-26,avoid,22,274,Snyderland,Catherine Flores,6028
2024-07-15,grow,16,493,North Blakeport,Edwin Harris,7888
2024-10-09,blue,75,49,Sheppardtown,Amy Thompson,3675
2024-03-10,really,50,478,Mckinneybury,Valerie Fowler,23900
2024-02-15,true,53,337,East Christineville,Donald Boyer,17861
2024-02-03,any,28,248,South William,Jesus Logan,6944
2024-05-18,price,8,428,South Kimberlymouth,Christopher Miller,3424
2024-06-04,color,6,121,Port Monica,Terri Perez,726
2024-05-18,simply,48,56,East Douglas,Elizabeth Allen,2688
2024-06-24,throughout,38,160,Riosburgh,Janet Harper,6080
2024-05-03,country,35,318,South Curtismouth,Joseph Conrad,11130
2024-04-12,customer,15,163,North Tracy,Jeffrey Mason,2445
2024-05-21,evening,90,101,South Thomasmouth,Carlos Moore,9090
2024-10-12,hand,59,66,South James,Tracy Patel,3894
2024-09-26,enough,58,351,Williamschester,Patrick Johnson,20358
2024-08-11,soldier,18,124,Nolanberg,Destiny Mitchell,2232
2024-04-03,difference,17,360,New Traceyfort,Mary Jackson,6120
2024-07-19,agree,53,165,Davieston,Ashley Vang,8745
2024-01-13,threat,14,22,Shafferbury,Susan Petty,308
2024-07-06,truth,39,263,New Vanessa,Cameron Anderson,10257
2024-05-22,too,92,223,East Billyview,Kaitlyn Hodge,20516
2024-08-29,parent,60,124,Leeberg,Mr. Joe Harris,7440
2024-07-04,in,78,249,North Savannahchester,Danielle Young,19422
2024-06-14,order,75,442,Chambershaven,Devon Bailey,33150
2024-02-14,staff,26,103,Lucasville,Mario Montoya,2678
2024-01-08,when,15,198,Marisamouth,Jennifer Schultz,2970
2024-04-07,risk,53,318,Kellyfurt,Madison Henson,16854
2024-10-06,art,95,47,Josechester,James Salazar,4465
2024-02-26,their,83,492,West Logan,Arthur Johnson,40836
2024-02-01,age,46,193,Port Kristinfurt,Richard Carter,8878
2024-05-12,food,87,160,Scottport,Shane Rodriguez,13920
2024-08-18,admit,81,217,Derrickside,Laurie Burns,17577
2024-05-25,throughout,58,398,Duranland,Shane Robertson,23084
2024-01-19,appear,47,121,New Derekchester,Jennifer Mitchell,5687
2024-05-09,actually,38,218,North Monicahaven,Michael Fitzpatrick,8284
2024-06-06,mouth,7,350,North Virginiaburgh,Michelle Barnett,2450
2024-09-18,book,88,84,North Nicholas,Patrick Wilson,7392
2024-09-16,budget,82,356,Johnsonbury,Joyce Carroll,29192
2024-02-03,southern,27,58,North Sara,Nicholas Sanchez,1566
2024-10-12,item,43,48,West Joseph,Kevin White,2064
2024-03-27,let,89,187,New Mark,Lisa Rivers,16643
2024-08-07,network,61,38,West Kristineside,Jonathan Buck,2318
2024-02-06,Republican,41,44,Miguelfort,Tina Hansen,1804
2024-05-10,benefit,100,215,North Hannahside,Gabriel Hayes,21500
2024-06-16,least,59,14,West Lisamouth,Patty Taylor DVM,826
2024-02-08,although,41,386,Jonesside,Brandon Mccoy,15826
2024-08-20,believe,4,98,Lake Danielle,Matthew Mann,392
2024-04-12,common,47,206,Taylormouth,Nathan Cortez,9682
2024-07-23,feeling,15,226,Matthewborough,Dr. Katherine Frank,3390
2024-04-22,only,80,471,Port Melissa,Jessica Peterson,37680
2024-05-26,relate,19,490,Maryhaven,Sarah Rasmussen,9310
2024-05-28,check,38,77,Angelaburgh,Amanda Stevenson,2926
2024-07-04,place,41,200,South Heatherside,Sandra Wood,8200
2024-06-29,tend,74,73,West Allisonview,Robert Cantu,5402
2024-03-24,rock,80,352,East Richardside,Douglas Martin,28160
2024-09-19,green,94,434,South Wanda,Adam Hodge,40796
2024-01-24,while,27,451,Stephenstad,Curtis Gonzalez,12177
2024-05-30,never,16,408,Mckayview,Ronald Wilcox,6528
2024-09-29,paper,78,133,Lake Sara,Michelle Norton,10374
2024-02-21,student,1,35,Orozcoville,Betty Trujillo,35
2024-01-10,direction,73,129,Jaclynfurt,Alexander Barnes,9417
2024-05-21,fear,45,335,North Bradley,Douglas Perry,15075
2024-07-18,national,86,481,Conniechester,Stephen Brown,41366
2024-06-20,series,48,394,Andersonmouth,Elizabeth Melton MD,18912
2024-02-15,politics,49,122,South Tonyaberg,Andrew Pope,5978
2024-08-27,own,7,56,Mikaylaport,Jeremiah Cruz,392
2024-05-19,raise,3,330,West Derekton,Jesus Williams,990
2024-05-11,identify,82,86,East Joelmouth,Theresa Lee,7052
2024-02-01,drop,1,376,Johnville,Alexa Castro,376
2024-02-13,those,75,493,South Bethanyview,Thomas Richardson,36975
2024-09-28,their,46,494,South Laura,Tracy Ramirez,22724
2024-04-27,yourself,38,395,New Jessica,Debra Williams,15010
2024-07-10,may,29,269,Penamouth,Ashley Rogers,7801
2024-05-09,easy,85,150,Port Jessicaborough,Daniel Hawkins,12750
2024-02-13,treatment,88,135,South Amandaview,Christina Clark,11880
2024-07-17,finish,78,116,East Juliebury,Christopher Williams,9048
2024-04-23,this,10,127,Tonyaburgh,Stacey Chung,1270
2024-07-18,might,50,116,East Jason,Eddie Sparks,5800
2024-02-20,rise,49,372,Wallacemouth,Jennifer Barton,18228
2024-02-20,hope,45,425,West Timothy,Ronald Sanford,19125
2024-05-11,environmental,71,36,Alexanderborough,Lisa Mcbride,2556
2024-07-07,themselves,84,388,Amyburgh,Mary Sanders,32592
2024-07-01,indicate,22,443,Scottstad,David Baker,9746
2024-05-28,Congress,26,69,West Joseph,Brittany Gardner,1794
2024-02-07,some,33,306,Lake Patrick,Donna Brooks,10098
2024-03-10,now,100,142,Jamieland,Bruce Williams,14200
2024-09-24,go,40,425,Pageland,Melanie Ford,17000
2024-06-18,truth,71,134,Lake Alan,Jorge Smith,9514
2024-05-21,choose,60,316,West Rebeccamouth,Meghan Mcconnell,18960
2024-03-11,significant,74,442,Stevenside,Randy Jones,32708
2024-03-31,energy,68,90,Lake Virginiatown,Carla Giles,6120
2024-03-15,number,88,485,Murilloburgh,Dr. Clinton Lloyd,42680
2024-08-12,life,66,323,Williammouth,Matthew Johnson,21318
2024-03-26,public,63,500,Richardfurt,Vincent Wood,31500
2024-08-13,shoulder,2,103,Scottview,Mrs. Summer Combs,206
2024-02-14,miss,79,51,Lake Richard,Dustin Mooney,4029
2024-03-18,no,28,348,Michaelstad,Joshua Gomez,9744
2024-01-05,drug,71,269,New Christopherville,Michael Lawson DDS,19099
2024-05-30,wrong,41,331,North Christine,Claire Roberts,13571
2024-04-27,thus,37,427,South Glen,Rebecca Reid,15799
2024-04-17,community,97,112,Callahanfurt,Paula Bowen,10864
2024-05-04,over,53,12,Madisonside,Alyssa Grant,636
2024-06-23,well,4,141,West Tammy,Tiffany Barton,564
2024-07-20,tell,85,115,Nguyenchester,Amber Murray,9775
2024-02-03,team,83,184,East Kennethberg,Kathy Sanchez,15272
2024-04-20,price,8,61,Andrewchester,Tammy Mendoza,488
2024-10-01,administration,4,382,South Anneside,Denise Arnold,1528
2024-04-04,behind,81,51,Williammouth,Steven Smith,4131
2024-08-19,unit,75,453,South Tylerport,Brian Thomas,33975
2024-10-03,child,51,302,Richardsonberg,Mark Villegas,15402
2024-01-22,bar,69,273,Kennedyburgh,Vanessa Macias,18837
2024-07-25,deep,79,19,North Anaborough,Joanna Castaneda,1501
2024-06-22,entire,48,291,Ryanshire,Caitlin Powers,13968
2024-09-11,relationship,2,104,Michaelbury,Eugene Roberts,208
2024-01-12,continue,38,462,New Antonioview,Amy Cruz,17556
2024-02-24,talk,72,271,Mccartyland,Patricia Munoz,19512
2024-02-03,describe,10,290,New Kyle,Sandra Webb,2900
2024-04-13,year,67,262,West Peggy,Dana Thomas,17554
2024-02-27,write,100,28,Lawrenceburgh,Jerry Moore,2800
2024-09-29,do,31,410,West Michelle,Luis Dixon,12710
2024-03-11,foot,42,179,South Trevor,Christopher Davis,7518
